Language classification,Flanker effect,No-go accuracy
dlc,76.04946800597713,0.96875
slc,67.20181209779878,0.09375
mono,132.90123015873013,1
slc,72.25653048311989,0.90625
mono,96.9583719740927,0.90625
slc,105.65414062499997,0.84375
slc,150.5740637400794,0.9375
slc,113.81475073928573,1
slc,96.08875992219748,0.84375
dlc,133.93743796526053,1
slc,72.75687499843752,0.96875
mono,156.00119047619052,0.9375
mono,100.17618427579367,0.75
slc,133.9803578629032,0.875
dlc,174.0424920634921,0.96875
slc,83.04606275116566,0.96875
mono,94.03422379349792,0.90625
slc,79.99455356984123,0.65625
slc,111.99125756048392,0.96875
dlc,79.82277777777779,0.96875
dlc,96.25046874999998,0.90625
slc,83.75071504237286,0.65625
mono,110.96510931416594,0.65625
slc,142.47517418025103,0.78125
slc,111.18988020368852,0.9375
mono,168.35801560687503,1
dlc,73.58822727636368,0.71875
mono,86.98338293650795,0.96875
mono,92.30061755952386,0.84375
dlc,60.95853125000008,0.375
mono,119.13659274193549,0.9375
mono,92.99554306582996,0.9375
dlc,137.59179687499994,0.96875
dlc,96.4897325230138,0.8125
slc,133.56015624843758,0.84375
dlc,41.99495721925132,0.84375
slc,69.53166666666675,0.96875
slc,127.02149206349202,0.6875
mono,110.23199479166664,0.75
slc,144.28151092915397,0.75
slc,173.2439692574597,0.90625
slc,109.91861607142857,1
mono,178.10768158473957,0.84375
mono,137.41647207834103,0.9375
mono,128.76994707489928,0.8125
dlc,68.92120967741937,0.9375
dlc,113.85835938906246,0.9375
mono,120.63025535939471,0.96875
slc,74.55863721667572,0.5625
mono,68.61619203946572,0.9375
dlc,-10.957419486497201,0.84375
dlc,128.0364566978327,0.90625
dlc,74.62456578947365,0.75
dlc,65.80746031111107,0.875
mono,106.92242447653689,0.9375
slc,87.41934221146084,0.875
mono,145.46996875000002,0.875
dlc,80.59109626854837,0.90625
mono,96.65183283730164,0.875
mono,95.39848090912699,0.90625
slc,84.03148689516127,0.78125
dlc,126.93386340725806,0.9375
slc,84.330075640129,0.90625
mono,90.77402380952378,0.90625
mono,101.40802083333335,0.90625
slc,91.9082899305555,0.96875
dlc,22.874843748437456,0.8125
